article_id	hh	gender	age_range	read_article_ids
1d9fcffd2aee	16	f	50-	"596628ba7057,b3110589a31c,5f7af52ddf9c,5c7b23378112,eca78a4f544b,88c12b160843,68376e204db7,91d9dca7e04f,200095d9df29,e053935f8f61,dd4e981ac1e0,6636d2b6b5bc,57a76f4f42ea,bbf46cc01d05,aa9b4d388857,515bc93abd2f,e4e2ad002be1,0a6ce106b739"
6d42b1067dc9	15	f	45-49	"fe4a0779afa3,97ff784184f6,98770a997297,7377d9c01384,99e60aa62ff6"
01e234fed982	8	f	45-49	"f53ccde28506,bd9bb5f0f633,c2fa320b527e"
a60b8207c44e	19	m	50-	nan
c52483759825	1	m	30-34	nan
ed173d87cf27	14	m	20-24	nan
6.79329E+11	14	f	45-49	"593acb2428c3,3e584fceac5c,67843375ed76,d3ee6473171f,35e6cf0a184f,a84e6905d413,5200c11b4894,f0db8bc45084,4d5cef99da30,59f43d5b3683"
6d10bdb0442c	10	f	15-19	"185832caba67,302a23f0d7ba,119cf82f2ace,1d6dd443698f"
98cf6695af2a	17	m	20-24	32de80fee26a
ed173d87cf27	9	m	45-49	"12d56b82b23e,cbf2ce811d81"
72c6a88c3552	6	f	40-44	"eecfa07e657a,d3b12e8da547,712e72a815df,08ee8214ced9,a2ceaa0c88a8,c728a81404a6,c5063bc7485c,ff8458a30b62"
8c63cc7588c9	8	f	50-	"40fd25ce269e,095b3b35335f,cd461bb48250,011e0fd02c63,132d1d8a4a53,2bd5aa66ff91,dad923dce2b5,5aa6420d8f73,1093e1150cd9,6be0a491a7ec,076cb9af5a6c,063650ebcf63,df2564f7e10b,19ab4e8d5d43,8c08e350403d,99e60aa62ff6,e5936ab814cb,bc7c4d0ed103,f3cecd6239a7,dc446229921b,b8051218cd56,6d42b1067dc9,d20cd52b55ee,3c7e7910465b,db94bcceb2b4,ef7e9ef5f114,efedbcdc8afe"
c85b32ff0ea0	13	f	15-19	00ac264cf230
bdcae37688d6	11	m	15-19	33f081b73f64
b0b547b7ac11	8	m	20-24	nan
bdcae37688d6	9	m	20-24	nan
ed173d87cf27	9	m	50-	nan
80774a8069f1	15	f	50-	"f4aa40ce511d,ad75b733f689,b6a5217663c2,1f4e8bf81235,510ee763e1d9,46db204cfe92"
6d42b1067dc9	11	f	45-49	ddceb3db46c1
2cda4aeef377	4	f	35-39	"2347160186d9,a94126526bef,321d67800280,dda9cd6e4852,171ee0cf858e"
666bb50bb190	11	m	25-29	33f081b73f64
81677b23a8bf	10	m	20-24	"d2a1c33c5799,c23961944a18,9e9540b512ea,9112f6fe8c83,cf8c4c21fac0"
2f6139c6b61e	10	m	20-24	"654d8970f482,20147917b6ec,bff633f97c9c,97d46e204206,636f05702cd3,c3d133e011ff,e619a3903372,e0e7f9bd138e,ab1338b3e97b,1c7d328287fe,98f1066ef2b7,a068fc0ed404,40f1ac7a22b8,45bd9ed76e38,6d41f2e14d98,5f06655f6e8d,b5620dda36f9,24497d59081f,05a0d7388693,5cb2c0f69f97,316e86bae50e,1b36517b4848,d3b936c3b04b,1c2ba8adc698,a3d13f08c16f,677838624004,503fc1257ec6"
80f1d8c0296c	6	f	25-29	"4fafe8a6c455,96ac83ad46ac,df6f62158596"
ae9d091062c3	3	f	15-19	"02ed03e258c0,fb094cfb510b,d252a1fc3397,e773a35bb921,0cf131f8f4f8,f1fe36eced4f,78929b2c0458,bca85f5a5ccc,8f74e585168b,3abeccdbf4b1,51a87c070fd2,8717c8ca3651,5514a473fbba,f2a75b580a9d,b61925f7d23b,2fd1edd7cf59,40e7eca06e2b,c663d1546f40,5fd63080f3d7,783529a8ba15,d4703778d3a7,fbd435a93532,4ef6d1309f71,62ed74e67c22,18b41aff84e8,ff44c0a1bbf1,00ac264cf230,06860c9b7eaa,95e263122cb5,13880e25adef,f8a55c5e96ed,43c5e393c272,d5f6a64bd3e2,f45a15b1211b,de665c5cb053"
d28ceaaccd35	9	f	50-	"343e5cc846b8,ecabf118cbc1,0c118f740113,0d5ab112da29,f038bca1ab40,e370a72be3cb"
01e234fed982	6	f	40-44	"5589692deb49,275e4fa4d5dc,8a1e4083ad06,2dd8bbba9598,d291fa1acf83,cf4243718e0a,165816219994,072ccb6d1b47,97ed0c532f14,9339775e05c8,ab1f570480f5,198620cc51a9,d31fd0ca7f65,88a5492e2cde,a2c286d53b22,13bb75497e17,b333b58a6de7,f7098fed4224,6897465911ed,69c2112f9641,bcba3fc1cfed,5d38e506533c,ba5ca52ea076,0b69e19cc6bc,59ea53373aad,f125ecf1edba,6a85501e4e17"
caeb470c7b4b	12	f	40-44	"095b3b35335f,5a8fd9336d01,dd21212529ba,ca92ab011bc9,fa6dc692544d,4061b5e9d806,75149dcb1fbd,1ef61a941d5a,5c13a272b1a8,1093e1150cd9,d30b0a5ef1b9,8349a029c7a9,535e2d4283af,e953b2c791fc,1a974f37dff4,597bbda66157,248bbfa694f9,8d99c51c5211,6d567d640a89,ed28177fa795,963f1d524d7d,f9bdf791d3d4,7396e9280c1a,94f46ba88f01,bd9fda494b81,316063f69329,81d35b1ffa84,7b4aaf40dec7,d52ba6ffafe9,063650ebcf63,677c410c3689,1b70b36ad542,87d34124bb07,91792f5de525,626dd10cfb65,694f285bc8d0,f9d46fa3f184,1dffbafff237,9d024c5e2759,ed279c8cf61a"
8b0ff466ddf4	9	f	25-29	"a6f31dd89ef4,076cb9af5a6c"
80f1d8c0296c	0	f	40-44	"0cf131f8f4f8,c480e68b6ceb,0b18f360572f,d5c2b3f39de8,924aae21871b,be7cfe64da75,24f9966fc431,22cfa91b9b8f,c248af27aa6f,1ef5af520303,17323bf81e6f,7be46e2447dc,ad4cc5ea0c01,414be3dd85af,dc5108694321,5fd63080f3d7,d0ff6d85e322,3bb7e8258eeb,8e84c3126548,c663d1546f40,0302d2f8fdd4,110f3779acee,5e39c10394f5,b1e8d3d46d23,200e03d6e706,06860c9b7eaa,ce06434f3a60,97da8c306421,1e20d9ce9e18,24b4ca51baa5,18bbaa79d020,9f98af9fc07b,25c15a2818a5,4fafe8a6c455,1bec4487198d,7a36e61962b0,2de6f48c2f3f,f2d16352e617"
83d81fd39e33	20	m	30-34	nan
c97468592027	9	f	-14	"29295d7274eb,6f620a152386,bab77381e0a4,b263ad5f7373,dde978d9400d,d80508edf924,9d642519b944,718f7a03cb1d,4d15da6183ec,f3064f61036d,3d56fcaade4c,6b4bb389a778,809bc2a12dda,201c67fbdd5c,4c8083b160ed,9ed55971b209,7a7b38dbe144,1f4249fc41dd,eadd227c6a13,29358aeef03b,1861e1a6e5bc,539dd285179a,8eb0d41a5127,1dde0f4ffda8,1b39f8a9f137,44125d2d42d1,65774df7590b,a0883e99dc4c,4efef1a99b44,3717b603c4cf,800f69e86502,0e08828556bb"
bfde563f2df4	13	m	45-49	nan
fd4199a48fc0	13	f	25-29	"62f594f3ba61,21f3de001244,b35b2d6fba16,be7857ec2792,3cc7e01ecdb9,95220a03c6ef,bf092e9b5619,2f88129accf6,490a7ef22d1b,c698dde0be5b,115be6a309b2,fd37d1caadf8,2a454598592d,2b4d27a96746,8c911f65820d,ae052a00a7f7,35ac7442c5b5,2eff4331baea"
10bb1e1bde7c	15	f	45-49	"abd8d9b780eb,b1c8df8c6da2,6d4346fb26dd,8199f394fe9c,26a79cfc0074,d57174193120,2f2d584a67c2,6b0154b936fd,a44ebf224a35,f2e3bf30f658,98f707d236c2,e05c3623d98c,1e76454b771a,5dc8c3943f87,bd71e8f4ac3a"
0caeac13b80f	6	f	25-29	"6d76dbb9cf7c,bbe29e1a661c,4275f0e4cf08,d86bba49199f,0cf131f8f4f8,b4a3de91c469,d5c2b3f39de8,c643e298a087,51a87c070fd2,1ef5af520303,e41a9b2f647f,52b3eda8b860,89410a240b1b,f2a75b580a9d,7d4f8b17698b,fab8599f0f7a,b0619f8b4330,712e72a815df,bb3c6d43ce1d,122ade48ba64,52151638684a,958037c866d8,b373fc52d491,0db11aff0661,726c2b980725,75149dcb1fbd,3fbab3eb33a8,204fd2cab272,8692b6866599,c663d1546f40,8e84c3126548,007e6736fc80,d5801ccf3d76,152e28ba9d4c,0b1ef5ea8263,fbd435a93532,c198b39acfaa,e937d212d176,5cf32eba9d21,ba4d9c66ad3c,ea20f1867f4b,337eb3d15e19,2ffe9ab0062e,cf9ac0ff380a,ab608fd658f7,31bf81590eb5,e9c350dfd0eb,1eeb5df9404c,b91d715e1965,66adfb0ccab6,ce04a644e0d8,f2c251df85e8,07d51fcd3fa7,7309b7eb2556,d535a302c8e1,17b6501f2a93,c966d69d579c,f8a55c5e96ed,b8699bb3e160,804c38136444"
0c4d0ed64adc	11	m	15-19	"98f1066ef2b7,65c946984c76,8bd822acfcb9,ac58647a9fd3"
6a7ad2dbca7d	18	f	40-44	dbd8218f3733
